CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.984375 1683214964.0785
MEM 32.269531 1683214964.1826
MEM 82.484375 1683214964.2868
MEM 111.968750 1683214964.3914
MEM 149.582031 1683214964.4956
MEM 160.562500 1683214964.5997
MEM 166.183594 1683214964.7039
MEM 182.855469 1683214964.8080
MEM 182.871094 1683214964.9136
MEM 182.871094 1683214965.0180
MEM 182.960938 1683214965.1238
MEM 182.960938 1683214965.2279
MEM 182.960938 1683214965.3352
MEM 182.960938 1683214965.4398
MEM 183.367188 1683214965.5485
MEM 183.378906 1683214965.6527
MEM 183.414062 1683214965.7567
MEM 183.425781 1683214965.8642
MEM 194.445312 1683214965.9683
MEM 214.167969 1683214966.0745
MEM 214.769531 1683214966.1787
MEM 215.039062 1683214966.2837
MEM 215.039062 1683214966.3881
MEM 215.039062 1683214966.4920
MEM 215.042969 1683214966.5962
MEM 215.042969 1683214966.7042
MEM 215.042969 1683214966.8127
MEM 215.042969 1683214966.9199
MEM 215.042969 1683214967.0266
MEM 215.042969 1683214967.1305
MEM 215.250000 1683214967.2352
MEM 215.269531 1683214967.3391
MEM 215.304688 1683214967.4447
MEM 216.316406 1683214967.5490
MEM 216.316406 1683214967.6577
MEM 216.320312 1683214967.7661
MEM 216.320312 1683214967.8748
MEM 216.320312 1683214967.9834
MEM 216.320312 1683214968.0919
MEM 216.320312 1683214968.2005
MEM 216.320312 1683214968.3050
MEM 216.320312 1683214968.4128
MEM 216.320312 1683214968.5204
MEM 216.320312 1683214968.6276
MEM 216.320312 1683214968.7350
MEM 216.320312 1683214968.8433
MEM 215.945312 1683214968.9486
MEM 215.945312 1683214969.0541
MEM 215.945312 1683214969.1582
MEM 215.945312 1683214969.2624
MEM 215.945312 1683214969.3698
MEM 215.945312 1683214969.4770
MEM 215.945312 1683214969.5845
MEM 215.640625 1683214969.6913
MEM 215.679688 1683214969.8009
MEM 215.679688 1683214969.9082
MEM 215.679688 1683214970.0151
MEM 215.679688 1683214970.1237
MEM 215.679688 1683214970.2291
MEM 215.679688 1683214970.3368
MEM 215.679688 1683214970.4454
MEM 215.679688 1683214970.5522
MEM 215.632812 1683214970.6592
MEM 215.632812 1683214970.7672
MEM 215.632812 1683214970.8750
MEM 215.636719 1683214970.9836
MEM 215.621094 1683214971.0914
MEM 215.613281 1683214971.2009
MEM 216.179688 1683214971.3054
MEM 216.207031 1683214971.4104
MEM 216.210938 1683214971.5164
MEM 216.210938 1683214971.6206
MEM 216.210938 1683214971.7253
MEM 216.210938 1683214971.8293
MEM 215.210938 1683214971.9377
MEM 215.210938 1683214972.0450
MEM 215.210938 1683214972.1511
MEM 215.304688 1683214972.2553
MEM 215.304688 1683214972.3601
MEM 215.304688 1683214972.4640
MEM 215.304688 1683214972.5697
MEM 215.300781 1683214972.6773
MEM 215.300781 1683214972.7843
MEM 215.324219 1683214972.8921
MEM 215.324219 1683214973.0004
MEM 215.324219 1683214973.1078
MEM 215.328125 1683214973.2169
MEM 215.371094 1683214973.3255
MEM 215.406250 1683214973.4339
MEM 215.410156 1683214973.5422
MEM 215.410156 1683214973.6507
MEM 215.410156 1683214973.7589
MEM 215.410156 1683214973.8670
MEM 215.410156 1683214973.9745
MEM 215.460938 1683214974.0823
MEM 215.464844 1683214974.1906
MEM 215.464844 1683214974.2986
MEM 215.464844 1683214974.4066
MEM 215.464844 1683214974.5150
MEM 215.464844 1683214974.6231
MEM 215.464844 1683214974.7304
MEM 215.464844 1683214974.8372
MEM 215.464844 1683214974.9453
MEM 215.468750 1683214975.0536
MEM 215.468750 1683214975.1617
MEM 215.468750 1683214975.2703
MEM 215.472656 1683214975.3783
MEM 215.480469 1683214975.4854
MEM 215.480469 1683214975.5932
MEM 215.480469 1683214975.7016
MEM 215.480469 1683214975.8094
MEM 215.632812 1683214975.9149
MEM 215.949219 1683214976.0195
MEM 215.984375 1683214976.1242
MEM 215.984375 1683214976.2298
MEM 216.273438 1683214976.3346
MEM 216.273438 1683214976.4386
MEM 216.273438 1683214976.5465
MEM 216.273438 1683214976.6551
MEM 216.273438 1683214976.7635
MEM 216.273438 1683214976.8721
MEM 216.285156 1683214976.9802
MEM 216.304688 1683214977.0878
MEM 216.304688 1683214977.1922
MEM 216.304688 1683214977.3004
MEM 216.304688 1683214977.4082
MEM 216.304688 1683214977.5163
MEM 216.496094 1683214977.6243
MEM 216.496094 1683214977.7323
MEM 216.496094 1683214977.8406
MEM 216.496094 1683214977.9489
MEM 216.496094 1683214978.0563
MEM 216.480469 1683214978.1604
MEM 221.890625 1683214978.2665
MEM 264.210938 1683214978.3716
MEM 324.652344 1683214978.4767
MEM 314.410156 1683214978.5818
MEM 320.691406 1683214978.6899
MEM 311.734375 1683214978.7950
MEM 313.890625 1683214978.9001
MEM 325.050781 1683214979.0081
MEM 320.316406 1683214979.1133
MEM 330.042969 1683214979.2194
MEM 322.652344 1683214979.3245
MEM 326.800781 1683214979.4296
MEM 332.882812 1683214979.5357
MEM 323.910156 1683214979.6408
MEM 334.078125 1683214979.7459
MEM 330.398438 1683214979.8511
MEM 335.589844 1683214979.9562
MEM 335.742188 1683214980.0615
MEM 330.558594 1683214980.1666
MEM 336.824219 1683214980.2717
MEM 337.078125 1683214980.3797
MEM 331.890625 1683214980.4849
MEM 336.679688 1683214980.5929
MEM 333.664062 1683214980.6981
MEM 337.113281 1683214980.8033
MEM 338.410156 1683214980.9088
MEM 336.691406 1683214981.0139
MEM 338.890625 1683214981.1190
MEM 337.632812 1683214981.2232
MEM 340.183594 1683214981.3283
MEM 342.316406 1683214981.4363
MEM 337.585938 1683214981.5414
MEM 339.304688 1683214981.6466
MEM 337.578125 1683214981.7507
MEM 339.269531 1683214981.8558
MEM 341.062500 1683214981.9610
MEM 337.554688 1683214982.0661
MEM 339.414062 1683214982.1712
MEM 339.164062 1683214982.2764
MEM 340.191406 1683214982.3815
MEM 341.265625 1683214982.4866
MEM 338.144531 1683214982.5917
MEM 341.125000 1683214982.6998
