CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe main.py
MEM 1.480469 1683207134.1027
MEM 31.058594 1683207134.2094
MEM 77.917969 1683207134.3185
MEM 111.468750 1683207134.4281
MEM 151.460938 1683207134.5399
MEM 160.441406 1683207134.6493
MEM 166.093750 1683207134.7603
MEM 182.769531 1683207134.8691
MEM 182.832031 1683207134.9775
MEM 182.832031 1683207135.0849
MEM 182.832031 1683207135.1931
MEM 182.851562 1683207135.3013
MEM 182.851562 1683207135.4089
MEM 182.851562 1683207135.5191
MEM 182.851562 1683207135.6283
MEM 183.273438 1683207135.7360
MEM 183.324219 1683207135.8435
MEM 183.324219 1683207135.9485
MEM 183.324219 1683207136.0594
MEM 183.328125 1683207136.1681
MEM 183.335938 1683207136.2761
MEM 183.335938 1683207136.3829
MEM 183.343750 1683207136.4909
MEM 198.832031 1683207136.5997
MEM 214.328125 1683207136.7091
MEM 214.937500 1683207136.8181
MEM 214.988281 1683207136.9250
MEM 214.988281 1683207137.0359
MEM 214.988281 1683207137.1410
MEM 215.011719 1683207137.2487
MEM 215.011719 1683207137.3591
MEM 215.011719 1683207137.4680
MEM 215.011719 1683207137.5772
MEM 215.164062 1683207137.6849
MEM 215.207031 1683207137.7927
MEM 216.203125 1683207137.9023
MEM 216.203125 1683207138.0123
MEM 216.203125 1683207138.1220
MEM 216.203125 1683207138.2303
MEM 216.203125 1683207138.3437
MEM 216.203125 1683207138.4630
MEM 216.203125 1683207138.5717
MEM 216.203125 1683207138.6784
MEM 216.203125 1683207138.7913
MEM 216.203125 1683207138.9000
MEM 216.203125 1683207139.0085
MEM 216.203125 1683207139.1159
MEM 216.246094 1683207139.2260
MEM 216.246094 1683207139.3347
MEM 215.871094 1683207139.4420
MEM 215.871094 1683207139.5498
MEM 215.871094 1683207139.6568
MEM 215.566406 1683207139.7631
MEM 215.570312 1683207139.8719
MEM 215.570312 1683207139.9791
MEM 215.570312 1683207140.0880
MEM 215.574219 1683207140.1972
MEM 215.640625 1683207140.3060
MEM 215.644531 1683207140.4149
MEM 215.621094 1683207140.5231
MEM 215.621094 1683207140.6294
MEM 215.621094 1683207140.7386
MEM 215.578125 1683207140.8470
MEM 216.027344 1683207140.9553
MEM 216.027344 1683207141.0640
MEM 216.027344 1683207141.1731
MEM 216.027344 1683207141.2813
MEM 216.027344 1683207141.3891
MEM 216.027344 1683207141.4980
MEM 216.027344 1683207141.6049
MEM 216.054688 1683207141.7141
MEM 216.054688 1683207141.8245
MEM 216.222656 1683207141.9302
MEM 216.296875 1683207142.0381
MEM 216.296875 1683207142.1472
MEM 216.296875 1683207142.2573
MEM 216.296875 1683207142.3661
MEM 215.296875 1683207142.4737
MEM 215.296875 1683207142.5841
MEM 215.394531 1683207142.6926
MEM 215.488281 1683207142.8048
MEM 215.488281 1683207142.9133
MEM 215.488281 1683207143.0201
MEM 215.488281 1683207143.1296
MEM 215.488281 1683207143.2380
MEM 215.488281 1683207143.3441
MEM 215.488281 1683207143.4548
MEM 215.488281 1683207143.5615
MEM 215.488281 1683207143.6711
MEM 215.484375 1683207143.7788
MEM 215.484375 1683207143.8864
MEM 215.535156 1683207143.9971
MEM 215.464844 1683207144.1063
MEM 215.546875 1683207144.2146
MEM 215.546875 1683207144.3214
MEM 215.546875 1683207144.4318
MEM 215.546875 1683207144.5423
MEM 215.500000 1683207144.6489
MEM 1256.230469 1683207144.7561
MEM 1256.230469 1683207144.8640
MEM 1256.230469 1683207144.9755
MEM 1263.640625 1683207145.0845
MEM 1346.515625 1683207145.1955
MEM 1426.390625 1683207145.3045
MEM 1507.476562 1683207145.4115
MEM 1589.890625 1683207145.5265
MEM 1672.515625 1683207145.6375
MEM 1753.953125 1683207145.7485
MEM 1835.328125 1683207145.8585
MEM 1916.921875 1683207145.9655
MEM 1999.921875 1683207146.0755
MEM 2080.546875 1683207146.1845
MEM 2163.378906 1683207146.2915
MEM 2245.109375 1683207146.4025
MEM 2296.808594 1683207146.5115
MEM 1298.230469 1683207146.6215
MEM 1444.570312 1683207146.7335
MEM 1593.097656 1683207146.8455
MEM 1737.125000 1683207146.9525
MEM 1880.765625 1683207147.0625
MEM 2025.312500 1683207147.1715
MEM 2169.859375 1683207147.2815
MEM 2315.488281 1683207147.3910
MEM 2461.644531 1683207147.5010
MEM 2604.636719 1683207147.6090
MEM 2751.375000 1683207147.7200
MEM 2899.011719 1683207147.8310
MEM 3040.507812 1683207147.9370
MEM 3196.375000 1683207148.0490
MEM 3353.441406 1683207148.1610
MEM 3504.039062 1683207148.2710
MEM 3658.503906 1683207148.3810
MEM 3812.062500 1683207148.4910
MEM 3964.699219 1683207148.6010
MEM 4118.066406 1683207148.7100
MEM 4273.828125 1683207148.8240
MEM 4419.585938 1683207148.9300
MEM 4569.851562 1683207149.0390
MEM 4723.343750 1683207149.1500
MEM 4882.867188 1683207149.2630
MEM 5033.199219 1683207149.3730
MEM 5185.687500 1683207149.4850
MEM 5337.167969 1683207149.5932
MEM 5484.214844 1683207149.7029
MEM 5635.003906 1683207149.8102
MEM 5780.925781 1683207149.9212
MEM 5935.917969 1683207150.0312
MEM 6079.230469 1683207150.1392
MEM 6233.828125 1683207150.2472
MEM 6422.199219 1683207150.3552
MEM 6521.773438 1683207150.4652
MEM 6677.394531 1683207150.5742
MEM 6818.035156 1683207150.6832
MEM 6969.378906 1683207150.7902
MEM 7125.148438 1683207150.9012
MEM 7263.246094 1683207151.0152
MEM 6233.871094 1683207151.1232
MEM 6233.871094 1683207151.2312
MEM 6233.871094 1683207151.3412
MEM 6246.808594 1683207151.4512
MEM 6246.808594 1683207151.5632
MEM 6263.148438 1683207151.6782
MEM 6263.148438 1683207151.7902
MEM 6272.382812 1683207151.9012
MEM 6283.582031 1683207152.0092
MEM 6283.582031 1683207152.1212
MEM 6301.476562 1683207152.2312
MEM 6308.855469 1683207152.3392
MEM 6308.855469 1683207152.4487
MEM 6335.675781 1683207152.5587
MEM 6340.042969 1683207152.6697
MEM 6340.042969 1683207152.7787
MEM 6369.039062 1683207152.8897
MEM 6379.703125 1683207152.9987
MEM 6379.703125 1683207153.1087
MEM 6395.523438 1683207153.2227
MEM 6428.519531 1683207153.3357
MEM 6428.886719 1683207153.4477
MEM 6429.507812 1683207153.5587
MEM 6462.441406 1683207153.6687
MEM 6490.054688 1683207153.7797
MEM 6490.054688 1683207153.8867
MEM 6490.054688 1683207153.9967
MEM 6517.203125 1683207154.1067
MEM 6549.472656 1683207154.2167
MEM 6566.812500 1683207154.3257
MEM 6566.812500 1683207154.4335
MEM 6576.714844 1683207154.5455
MEM 6611.980469 1683207154.6665
MEM 6643.261719 1683207154.7751
MEM 6662.695312 1683207154.8823
MEM 6662.695312 1683207154.9973
MEM 6664.414062 1683207155.1063
MEM 6696.332031 1683207155.2183
MEM 6727.210938 1683207155.3263
MEM 6759.386719 1683207155.4353
MEM 6782.449219 1683207155.5513
MEM 6782.449219 1683207155.6633
MEM 6782.449219 1683207155.7703
MEM 6811.957031 1683207155.8810
MEM 6844.062500 1683207155.9930
MEM 6876.773438 1683207156.1050
MEM 6909.304688 1683207156.2150
MEM 6932.269531 1683207156.3230
MEM 6932.269531 1683207156.4355
MEM 6932.269531 1683207156.5465
MEM 6956.121094 1683207156.6565
MEM 6988.707031 1683207156.7655
MEM 7018.992188 1683207156.8765
MEM 7051.468750 1683207156.9865
MEM 7083.976562 1683207157.0947
MEM 7115.808594 1683207157.2061
MEM 7119.082031 1683207157.3191
