CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe ns3Visualizer.py
MEM 7257.699219 1683207471.0378
MEM 7257.699219 1683207471.1488
MEM 7257.699219 1683207471.2588
MEM 7257.699219 1683207471.3668
MEM 7257.699219 1683207471.4818
MEM 7257.699219 1683207471.5918
MEM 7257.699219 1683207471.6998
MEM 7257.699219 1683207471.8088
MEM 7257.699219 1683207471.9184
MEM 7257.699219 1683207472.0294
MEM 7257.699219 1683207472.1379
MEM 7274.433594 1683207472.2479
MEM 7315.308594 1683207472.3579
MEM 7356.699219 1683207472.4729
MEM 7396.679688 1683207472.5819
MEM 7437.503906 1683207472.6919
MEM 7479.195312 1683207472.8039
MEM 7520.000000 1683207472.9129
MEM 7561.156250 1683207473.0259
MEM 7602.175781 1683207473.1359
MEM 7643.402344 1683207473.2469
MEM 7683.734375 1683207473.3559
MEM 7721.488281 1683207473.4639
MEM 7762.488281 1683207473.5759
MEM 7803.929688 1683207473.6879
MEM 7844.210938 1683207473.7969
MEM 7885.183594 1683207473.9073
MEM 7925.828125 1683207474.0173
MEM 7967.183594 1683207474.1283
MEM 8007.925781 1683207474.2383
MEM 8049.281250 1683207474.3473
MEM 8088.902344 1683207474.4543
MEM 8130.156250 1683207474.5673
MEM 8170.160156 1683207474.6753
MEM 8212.007812 1683207474.7873
MEM 8252.089844 1683207474.8953
MEM 8292.980469 1683207475.0053
MEM 8335.214844 1683207475.1173
MEM 8376.160156 1683207475.2273
MEM 8417.535156 1683207475.3373
MEM 8457.878906 1683207475.4483
MEM 8499.289062 1683207475.5593
MEM 8540.042969 1683207475.6693
MEM 8580.765625 1683207475.7793
MEM 8621.656250 1683207475.8893
MEM 8662.664062 1683207475.9993
MEM 8700.597656 1683207476.1074
MEM 8740.843750 1683207476.2194
MEM 8781.187500 1683207476.3294
MEM 8822.019531 1683207476.4414
MEM 8863.425781 1683207476.5529
MEM 8904.937500 1683207476.6649
MEM 8945.882812 1683207476.7749
MEM 8986.585938 1683207476.8849
MEM 9027.417969 1683207476.9949
MEM 9056.230469 1683207477.1059
MEM 9056.230469 1683207477.2130
MEM 9056.230469 1683207477.3240
MEM 9056.230469 1683207477.4340
MEM 9056.230469 1683207477.5460
MEM 9056.230469 1683207477.6560
MEM 9056.230469 1683207477.7650
MEM 9056.230469 1683207477.8750
MEM 9056.230469 1683207477.9840
MEM 9056.230469 1683207478.0930
MEM 9056.230469 1683207478.2050
MEM 9056.230469 1683207478.3120
MEM 9056.230469 1683207478.4250
MEM 9056.230469 1683207478.5330
MEM 9056.230469 1683207478.6440
MEM 9056.230469 1683207478.7540
MEM 9056.230469 1683207478.8650
MEM 9056.230469 1683207478.9730
MEM 9056.230469 1683207479.0830
MEM 9056.230469 1683207479.1915
MEM 9056.230469 1683207479.2995
MEM 9056.230469 1683207479.4105
MEM 9056.230469 1683207479.5195
MEM 9056.230469 1683207479.6295
MEM 9056.230469 1683207479.7415
MEM 9056.230469 1683207479.8515
MEM 9056.230469 1683207479.9615
MEM 9056.230469 1683207480.0697
MEM 9056.230469 1683207480.1817
MEM 9056.230469 1683207480.2937
MEM 9085.003906 1683207480.4038
MEM 9125.679688 1683207480.5138
MEM 9166.886719 1683207480.6268
MEM 9207.484375 1683207480.7363
MEM 9248.652344 1683207480.8463
MEM 9290.078125 1683207480.9583
MEM 9331.277344 1683207481.0693
MEM 9372.816406 1683207481.1803
MEM 9413.746094 1683207481.2893
MEM 9454.882812 1683207481.4023
MEM 9495.699219 1683207481.5103
MEM 9536.636719 1683207481.6223
MEM 9577.546875 1683207481.7323
MEM 9618.273438 1683207481.8423
MEM 9658.957031 1683207481.9518
MEM 9699.992188 1683207482.0618
MEM 9741.285156 1683207482.1728
MEM 9778.289062 1683207482.2818
MEM 9817.570312 1683207482.3918
MEM 9858.195312 1683207482.5008
MEM 9898.976562 1683207482.6108
MEM 9939.339844 1683207482.7198
MEM 9980.433594 1683207482.8278
MEM 10020.656250 1683207482.9388
MEM 10061.410156 1683207483.0498
MEM 10102.195312 1683207483.1598
MEM 10143.210938 1683207483.2698
MEM 10183.582031 1683207483.3778
MEM 10224.421875 1683207483.4878
MEM 10265.472656 1683207483.5998
MEM 10306.695312 1683207483.7108
MEM 10347.128906 1683207483.8198
MEM 10388.597656 1683207483.9318
MEM 10429.644531 1683207484.0418
MEM 10470.359375 1683207484.1518
MEM 10511.187500 1683207484.2628
MEM 10551.464844 1683207484.3699
MEM 10592.195312 1683207484.4809
MEM 10633.753906 1683207484.5939
MEM 10674.437500 1683207484.7009
MEM 10715.406250 1683207484.8119
MEM 10756.203125 1683207484.9239
MEM 10797.292969 1683207485.0349
MEM 10838.171875 1683207485.1454
MEM 10879.230469 1683207485.2554
MEM 10920.109375 1683207485.3654
MEM 10957.070312 1683207485.4754
MEM 10998.375000 1683207485.5874
MEM 11039.265625 1683207485.6994
MEM 11079.984375 1683207485.8094
MEM 11119.984375 1683207485.9174
MEM 11160.382812 1683207486.0244
MEM 11200.542969 1683207486.1344
MEM 11241.652344 1683207486.2454
MEM 11281.613281 1683207486.3554
MEM 11304.199219 1683207486.4654
MEM 11304.199219 1683207486.5774
MEM 11304.199219 1683207486.6904
MEM 11304.199219 1683207486.7994
MEM 11304.199219 1683207486.9104
MEM 11304.199219 1683207487.0204
MEM 11304.199219 1683207487.1334
MEM 11304.199219 1683207487.2424
MEM 11304.199219 1683207487.3494
MEM 11304.199219 1683207487.4634
MEM 11304.199219 1683207487.5734
MEM 11304.199219 1683207487.6834
MEM 11304.199219 1683207487.7944
MEM 11304.199219 1683207487.9034
MEM 11304.199219 1683207488.0154
MEM 11304.199219 1683207488.1254
MEM 11304.199219 1683207488.2384
MEM 11304.199219 1683207488.3454
MEM 11304.199219 1683207488.4559
MEM 11304.199219 1683207488.5699
MEM 11304.199219 1683207488.6809
MEM 11304.199219 1683207488.7899
MEM 11304.199219 1683207488.9019
MEM 11304.199219 1683207489.0139
MEM 11304.199219 1683207489.1239
MEM 11304.199219 1683207489.2365
MEM 11304.199219 1683207489.3435
MEM 11304.199219 1683207489.4555
MEM 11304.199219 1683207489.5675
MEM 11304.199219 1683207489.6775
MEM 11304.199219 1683207489.7880
MEM 11304.199219 1683207489.9000
MEM 11304.199219 1683207490.0110
MEM 11304.199219 1683207490.1220
MEM 11304.199219 1683207490.2290
MEM 11304.199219 1683207490.3410
MEM 11304.199219 1683207490.4510
MEM 11304.199219 1683207490.5610
MEM 11304.828125 1683207490.6680
MEM 11345.703125 1683207490.7781
MEM 11386.292969 1683207490.8901
MEM 11426.863281 1683207491.0001
MEM 11467.617188 1683207491.1101
MEM 11507.855469 1683207491.2196
MEM 11549.078125 1683207491.3296
MEM 11589.500000 1683207491.4386
MEM 11630.781250 1683207491.5496
MEM 11672.265625 1683207491.6636
MEM 11713.011719 1683207491.7736
MEM 11754.093750 1683207491.8836
MEM 11794.898438 1683207491.9936
MEM 11836.175781 1683207492.1046
MEM 11877.460938 1683207492.2156
MEM 11918.273438 1683207492.3236
MEM 11959.042969 1683207492.4356
MEM 11999.832031 1683207492.5436
MEM 12040.570312 1683207492.6556
MEM 12082.433594 1683207492.7676
MEM 12123.117188 1683207492.8766
MEM 12163.605469 1683207492.9876
MEM 12204.906250 1683207493.0986
MEM 12245.761719 1683207493.2096
MEM 12286.750000 1683207493.3196
MEM 12322.386719 1683207493.4316
MEM 12363.394531 1683207493.5416
MEM 12404.644531 1683207493.6526
MEM 12445.785156 1683207493.7636
MEM 12486.726562 1683207493.8736
MEM 12527.730469 1683207493.9836
MEM 12568.179688 1683207494.0926
MEM 12608.648438 1683207494.2015
MEM 12645.515625 1683207494.3085
MEM 12686.648438 1683207494.4215
MEM 12727.347656 1683207494.5325
MEM 12768.066406 1683207494.6415
MEM 12809.042969 1683207494.7515
MEM 12850.468750 1683207494.8635
MEM 12891.351562 1683207494.9735
MEM 12932.039062 1683207495.0835
MEM 12973.515625 1683207495.1945
MEM 13012.230469 1683207495.3035
MEM 13052.554688 1683207495.4135
MEM 13093.101562 1683207495.5235
MEM 13134.546875 1683207495.6355
MEM 13175.101562 1683207495.7455
MEM 13215.878906 1683207495.8555
MEM 13256.867188 1683207495.9655
MEM 13298.011719 1683207496.0765
MEM 13337.683594 1683207496.1835
MEM 13378.617188 1683207496.2945
MEM 13418.429688 1683207496.4015
MEM 13459.371094 1683207496.5115
MEM 13500.203125 1683207496.6235
MEM 13540.636719 1683207496.7315
MEM 13581.097656 1683207496.8405
MEM 13621.265625 1683207496.9485
MEM 13661.257812 1683207497.0565
MEM 13702.734375 1683207497.1675
MEM 13743.667969 1683207497.2785
MEM 13783.929688 1683207497.3865
MEM 13824.574219 1683207497.4975
MEM 13859.777344 1683207497.6085
MEM 13900.718750 1683207497.7185
MEM 13940.773438 1683207497.8245
MEM 13980.914062 1683207497.9345
MEM 14021.484375 1683207498.0435
MEM 14062.445312 1683207498.1535
MEM 14102.269531 1683207498.2615
MEM 14113.511719 1683207498.3695
MEM 14113.511719 1683207498.4825
MEM 14113.511719 1683207498.5931
MEM 14113.511719 1683207498.7011
MEM 14113.511719 1683207498.8131
MEM 14113.511719 1683207498.9241
MEM 14113.511719 1683207499.0331
MEM 14113.511719 1683207499.1451
MEM 14113.511719 1683207499.2551
MEM 14113.511719 1683207499.3616
MEM 14113.511719 1683207499.4706
MEM 14113.511719 1683207499.5796
MEM 14113.511719 1683207499.6876
MEM 14113.511719 1683207499.7996
MEM 14113.511719 1683207499.9086
MEM 14113.511719 1683207500.0206
MEM 14113.511719 1683207500.1316
MEM 14113.511719 1683207500.2406
MEM 14113.511719 1683207500.3501
MEM 14113.511719 1683207500.4621
MEM 14113.566406 1683207500.5731
MEM 14113.566406 1683207500.6841
MEM 14113.566406 1683207500.7951
MEM 14113.566406 1683207500.9041
MEM 14113.566406 1683207501.0161
MEM 14113.566406 1683207501.1251
MEM 14113.566406 1683207501.2361
MEM 14113.566406 1683207501.3441
MEM 14113.566406 1683207501.4541
MEM 14113.566406 1683207501.5691
MEM 14113.566406 1683207501.6781
MEM 14113.566406 1683207501.7891
MEM 14113.566406 1683207501.8982
MEM 14113.566406 1683207502.0102
MEM 14113.566406 1683207502.1212
MEM 14113.566406 1683207502.2322
MEM 14113.566406 1683207502.3432
MEM 14113.566406 1683207502.4521
MEM 14113.566406 1683207502.5632
MEM 14113.566406 1683207502.6722
MEM 14113.566406 1683207502.7822
MEM 14113.566406 1683207502.8912
MEM 14113.566406 1683207503.0002
MEM 14113.566406 1683207503.1112
MEM 14113.566406 1683207503.2212
MEM 14113.566406 1683207503.3312
MEM 14113.566406 1683207503.4397
MEM 14113.566406 1683207503.5470
MEM 14113.566406 1683207503.6590
MEM 14148.750000 1683207503.7716
MEM 14189.933594 1683207503.8816
MEM 14231.125000 1683207503.9926
MEM 14272.218750 1683207504.1032
MEM 14313.660156 1683207504.2142
MEM 14354.953125 1683207504.3232
MEM 14395.671875 1683207504.4352
MEM 14436.546875 1683207504.5422
MEM 14477.472656 1683207504.6582
MEM 14517.519531 1683207504.7672
MEM 14558.894531 1683207504.8792
MEM 14599.964844 1683207504.9892
MEM 14641.515625 1683207505.1012
MEM 14682.433594 1683207505.2112
MEM 14722.875000 1683207505.3192
MEM 14764.375000 1683207505.4302
MEM 14805.187500 1683207505.5412
MEM 14846.230469 1683207505.6522
MEM 14887.515625 1683207505.7632
MEM 14928.101562 1683207505.8732
MEM 14969.160156 1683207505.9842
MEM 15010.218750 1683207506.0952
MEM 15051.160156 1683207506.2052
MEM 15092.156250 1683207506.3172
MEM 15132.914062 1683207506.4272
MEM 15174.386719 1683207506.5407
MEM 15215.804688 1683207506.6507
MEM 15255.609375 1683207506.7627
MEM 15296.101562 1683207506.8717
MEM 15336.574219 1683207506.9817
MEM 15377.812500 1683207507.0947
MEM 15418.375000 1683207507.2047
MEM 15458.437500 1683207507.3127
MEM 15499.046875 1683207507.4227
MEM 15540.312500 1683207507.5347
MEM 15576.210938 1683207507.6462
MEM 15617.441406 1683207507.7582
MEM 15657.562500 1683207507.8702
MEM 15698.472656 1683207507.9802
MEM 15739.203125 1683207508.0922
MEM 15779.875000 1683207508.2022
MEM 15819.019531 1683207508.3142
MEM 15860.140625 1683207508.4252
MEM 15901.132812 1683207508.5342
MEM 15942.832031 1683207508.6482
MEM 15983.527344 1683207508.7582
MEM 16024.355469 1683207508.8682
MEM 16065.417969 1683207508.9792
MEM 16106.894531 1683207509.0902
MEM 16147.656250 1683207509.2002
MEM 16183.753906 1683207509.3122
MEM 16224.328125 1683207509.4202
MEM 16264.964844 1683207509.5332
MEM 16306.144531 1683207509.6442
MEM 16346.871094 1683207509.7542
MEM 16387.949219 1683207509.8642
MEM 16429.074219 1683207509.9752
MEM 16469.871094 1683207510.0852
MEM 16511.074219 1683207510.1962
MEM 16547.984375 1683207510.3052
MEM 16589.609375 1683207510.4182
MEM 16630.093750 1683207510.5282
MEM 16670.019531 1683207510.6382
MEM 16709.398438 1683207510.7422
MEM 16750.550781 1683207510.8522
MEM 16791.421875 1683207510.9662
MEM 16832.171875 1683207511.0752
MEM 16873.546875 1683207511.1862
MEM 16912.621094 1683207511.2982
MEM 16951.148438 1683207511.4062
MEM 16992.070312 1683207511.5162
MEM 17033.234375 1683207511.6272
MEM 17073.671875 1683207511.7382
MEM 17114.320312 1683207511.8472
MEM 17155.914062 1683207511.9592
MEM 17195.671875 1683207512.0682
MEM 17235.558594 1683207512.1732
MEM 17276.878906 1683207512.2872
MEM 17316.218750 1683207512.3942
MEM 17356.636719 1683207512.5022
MEM 17396.859375 1683207512.6132
MEM 17437.343750 1683207512.7252
MEM 17481.375000 1683207512.8462
MEM 17514.105469 1683207512.9562
MEM 17555.355469 1683207513.0642
MEM 17597.175781 1683207513.1782
MEM 17626.718750 1683207513.2872
MEM 17626.718750 1683207513.3932
MEM 17626.718750 1683207513.5072
MEM 17626.718750 1683207513.6162
MEM 17626.718750 1683207513.7242
MEM 17626.718750 1683207513.8342
MEM 17626.718750 1683207513.9432
MEM 17626.718750 1683207514.0532
MEM 17626.718750 1683207514.1642
MEM 17626.718750 1683207514.2762
MEM 17626.718750 1683207514.3832
MEM 17626.718750 1683207514.4932
MEM 17626.718750 1683207514.6062
MEM 17626.718750 1683207514.7172
MEM 17626.718750 1683207514.8272
MEM 17626.718750 1683207514.9392
MEM 17626.718750 1683207515.0492
MEM 17626.718750 1683207515.1618
MEM 17626.718750 1683207515.2718
MEM 17626.718750 1683207515.3808
MEM 17626.718750 1683207515.4928
MEM 17626.718750 1683207515.6048
MEM 17626.718750 1683207515.7158
MEM 17626.718750 1683207515.8268
MEM 17626.718750 1683207515.9368
MEM 17626.718750 1683207516.0478
MEM 17626.718750 1683207516.1588
MEM 17626.718750 1683207516.2708
MEM 17626.718750 1683207516.3778
MEM 17626.718750 1683207516.4868
MEM 17626.718750 1683207516.5998
MEM 17626.718750 1683207516.7068
MEM 17626.718750 1683207516.8218
MEM 17626.718750 1683207516.9308
MEM 17626.718750 1683207517.0428
MEM 17626.718750 1683207517.1528
MEM 17626.718750 1683207517.2638
MEM 17626.718750 1683207517.3708
MEM 17626.718750 1683207517.4828
MEM 17626.718750 1683207517.5958
MEM 17626.718750 1683207517.7078
MEM 17626.718750 1683207517.8198
MEM 17626.718750 1683207517.9298
MEM 17626.718750 1683207518.0398
MEM 17626.718750 1683207518.1508
MEM 17626.718750 1683207518.2598
MEM 17626.718750 1683207518.3688
MEM 17626.718750 1683207518.4808
MEM 17626.718750 1683207518.5925
MEM 17626.718750 1683207518.7025
MEM 17626.718750 1683207518.8145
MEM 17626.718750 1683207518.9245
MEM 17626.718750 1683207519.0345
MEM 17626.718750 1683207519.1455
MEM 17626.718750 1683207519.2545
MEM 17626.718750 1683207519.3625
MEM 17626.718750 1683207519.4755
MEM 17626.718750 1683207519.5855
MEM 17626.718750 1683207519.6945
MEM 17626.718750 1683207519.8060
MEM 17626.718750 1683207519.9160
MEM 17626.718750 1683207520.0280
MEM 17626.718750 1683207520.1380
MEM 17648.144531 1683207520.2480
MEM 17688.949219 1683207520.3570
