CMDLINE C:\Users\boys4\AppData\Local\Programs\Python\Python310\python.exe ns3Visualizer.py
MEM 1.480469 1683207245.8814
MEM 23.003906 1683207245.9932
MEM 27.320312 1683207246.1031
MEM 28.386719 1683207246.2125
MEM 31.886719 1683207246.3197
MEM 31.992188 1683207246.4270
MEM 31.992188 1683207246.5338
MEM 31.992188 1683207246.6448
MEM 31.992188 1683207246.7578
MEM 31.992188 1683207246.8648
MEM 31.992188 1683207246.9728
MEM 31.992188 1683207247.0807
MEM 32.019531 1683207247.1918
MEM 32.019531 1683207247.3005
MEM 32.019531 1683207247.4080
MEM 32.046875 1683207247.5199
MEM 50.039062 1683207247.6299
MEM 66.464844 1683207247.7347
MEM 66.578125 1683207247.8448
MEM 66.605469 1683207247.9521
MEM 66.605469 1683207248.0656
MEM 66.605469 1683207248.1698
MEM 66.664062 1683207248.2791
MEM 66.683594 1683207248.3879
MEM 66.683594 1683207248.4963
MEM 66.683594 1683207248.6048
MEM 66.683594 1683207248.7118
MEM 66.746094 1683207248.8224
MEM 66.746094 1683207248.9299
MEM 66.746094 1683207249.0368
MEM 66.746094 1683207249.1432
MEM 66.789062 1683207249.2545
MEM 66.789062 1683207249.3629
MEM 66.789062 1683207249.4707
MEM 66.789062 1683207249.5817
MEM 66.789062 1683207249.6914
MEM 66.789062 1683207249.8112
MEM 66.789062 1683207249.9202
MEM 66.789062 1683207250.0276
MEM 66.789062 1683207250.1369
MEM 66.789062 1683207250.2459
MEM 66.750000 1683207250.3551
MEM 66.750000 1683207250.4644
MEM 66.750000 1683207250.5706
MEM 66.750000 1683207250.6826
MEM 66.750000 1683207250.8020
MEM 66.750000 1683207250.9113
MEM 66.750000 1683207251.0202
MEM 66.750000 1683207251.1276
MEM 66.750000 1683207251.2360
MEM 66.750000 1683207251.3446
MEM 66.992188 1683207251.4525
MEM 67.039062 1683207251.5609
MEM 66.859375 1683207251.6678
MEM 66.859375 1683207251.7780
MEM 71.398438 1683207251.8851
